tarih;usimports;usexports;trexports ;trimports
1992-01-01;52277;35498;1.222,91;1.637,24
1992-02-01;52513;36854;1.081,07;1.553,53
1992-03-01;52935;35711;1.245,97;1.751,35
1992-04-01;53411;35439;1.057,86;1.742,49
1992-05-01;53963;35403;1.247,36;1.838,19
1992-06-01;54551;37099;998,13;1.904,24
1992-07-01;55313;37753;1.215,68;2.036,43
1992-08-01;55395;36051;1.206,51;1.867,29
1992-09-01;55515;37043;1.279,12;1.952,75
1992-10-01;56556;37997;1.412,01;1.904,89
1992-11-01;56214;37519;1.246,96;2.077,60
1992-12-01;57446;37264;1.501,05;2.605,06
1993-01-01;56439;37411;1.273,91;1.792,83
1993-02-01;56076;37002;1.168,21;2.004,29
1993-03-01;59813;37686;1.231,15;2.110,91
1993-04-01;59584;37589;1.257,50;2.879,49
1993-05-01;58598;38821;1.338,41;2.524,54
1993-06-01;59275;36847;881,38;2.374,17
1993-07-01;59200;37215;1.181,81;2.469,38
1993-08-01;58805;37561;1.120,77;2.596,41
1993-09-01;60679;38206;1.259,41;2.400,08
1993-10-01;62069;39511;1.416,62;2.317,19
1993-11-01;61361;39254;1.291,35;2.595,32
1993-12-01;61271;39841;1.924,57;3.363,78
1994-01-01;61365;39721;1.312,74;2.153,74
1994-02-01;62974;37850;1.193,55;1.751,89
1994-03-01;64772;41262;1.320,08;1.981,47
1994-04-01;64323;39987;1.232,80;1.724,77
1994-05-01;65070;40747;1.219,55;1.448,34
1994-06-01;66831;41517;1.378,44;1.780,78
1994-07-01;67230;41475;1.578,24;1.606,38
1994-08-01;68710;43522;1.517,01;1.890,03
1994-09-01;69026;43950;1.719,93;1.919,87
1994-10-01;69019;43087;1.670,19;2.059,54
1994-11-01;71147;44280;1.658,03;2.248,22
1994-12-01;71281;45461;2.305,32;2.705,00
1995-01-01;72442;45458;1.549,71;2.097,10
1995-02-01;71894;46031;1.550,66;2.282,66
1995-03-01;74057;46882;1.655,99;2.473,99
1995-04-01;74682;47165;1.860,74;2.984,81
1995-05-01;74845;47742;1.503,60;2.584,02
1995-06-01;75478;47614;1.834,78;3.046,49
1995-07-01;74247;47985;1.789,97;2.876,39
1995-08-01;74173;48770;1.748,12;3.192,03
1995-09-01;74867;49781;1.750,03;3.066,37
1995-10-01;74219;49272;1.936,76;3.212,56
1995-11-01;74523;48852;2.059,09;3.574,00
1995-12-01;75342;49653;2.397,59;4.318,59
1996-01-01;76764;49554;1.752,44;3.154,53
1996-02-01;77217;50973;1.779,86;2.860,52
1996-03-01;77553;50026;2.009,12;3.742,74
1996-04-01;78870;50797;1.827,51;3.663,64
1996-05-01;80288;50914;1.623,45;3.899,73
1996-06-01;78516;51150;1.746,57;3.421,92
1996-07-01;79536;50030;1.914,65;3.913,32
1996-08-01;80919;50877;1.942,21;3.521,38
1996-09-01;80748;50949;1.896,97;3.319,73
1996-10-01;80404;52306;2.102,35;3.604,39
1996-11-01;81531;52698;2.229,64;3.943,69
1996-12-01;83317;51840;2.399,69;4.581,04
1997-01-01;84179;52260;2.044,42;3.613,58
1997-02-01;85001;54470;1.857,09;3.100,08
1997-03-01;85433;55940;2.176,29;3.831,45
1997-04-01;85855;56621;2.026,33;3.503,51
1997-05-01;86277;56386;2.191,31;4.319,08
1997-06-01;86043;57242;2.131,62;3.872,64
1997-07-01;87132;58545;2.150,03;4.133,73
1997-08-01;87365;56895;2.138,34;4.158,75
1997-09-01;88556;57714;2.223,51;4.357,57
1997-10-01;88472;57655;2.389,81;4.373,91
1997-11-01;88086;56982;2.523,11;4.353,28
1997-12-01;90327;57654;2.409,23;4.941,16
1998-01-01;89784;57500;2.193,87;3.105,60
1998-02-01;89495;56627;2.063,85;3.875,01
1998-03-01;91692;56934;2.477,47;4.363,70
1998-04-01;91566;55229;1.917,28;3.633,69
1998-05-01;91349;55073;2.417,91;4.174,76
1998-06-01;90208;55257;2.261,73;4.167,46
1998-07-01;90098;54618;2.209,37;4.192,46
1998-08-01;91540;53945;2.237,39;3.729,41
1998-09-01;91999;55490;2.208,03;3.659,81
1998-10-01;94166;56962;2.495,38;3.637,67
1998-11-01;94290;56949;2.252,60;3.511,68
1998-12-01;93127;55833;2.239,08;3.870,13
1999-01-01;93980;56296;1.883,32;2.226,51
1999-02-01;96421;55673;2.194,48;2.788,10
1999-03-01;96350;56017;2.402,24;3.045,15
1999-04-01;97125;56909;1.953,00;3.334,09
1999-05-01;99168;56749;2.225,60;3.409,31
1999-06-01;102349;56692;2.122,32;3.586,52
1999-07-01;103870;57526;2.254,97;3.618,07
1999-08-01;104920;58955;1.939,84;3.178,34
1999-09-01;106063;59944;2.273,77;3.643,74
1999-10-01;107096;60298;2.658,57;3.559,05
1999-11-01;109665;60859;2.447,75;3.848,19
1999-12-01;111479;62607;2.231,38;4.434,23
2000-01-01;112733;62502;2.123,10;3.229,07
2000-02-01;116071;62442;2.263,42;3.931,50
2000-03-01;118523;63556;2.316,92;4.164,05
2000-04-01;117655;64292;2.438,60;4.491,49
2000-05-01;117830;64016;2.338,19;4.698,03
2000-06-01;121737;66361;2.325,80;4.964,51
2000-07-01;121848;66035;2.288,33;4.677,51
2000-08-01;122459;67915;2.044,08;4.879,03
2000-09-01;126365;67856;2.403,30;4.643,52
2000-10-01;124734;67058;2.244,78;5.024,14
2000-11-01;123996;66885;2.499,36;5.362,48
2000-12-01;123885;66023;2.489,03;4.437,50
2001-01-01;125148;65979;2.236,40;4.071,58
2001-02-01;119530;66272;2.515,77;3.594,48
2001-03-01;121186;64525;2.546,10;3.108,98
2001-04-01;117966;63262;2.616,05;3.037,99
2001-05-01;114702;63881;2.884,68;3.558,81
2001-06-01;114175;61362;2.561,64;3.298,94
2001-07-01;112914;59412;2.483,79;3.436,57
2001-08-01;111958;60011;2.579,47;3.502,14
2001-09-01;108508;56531;2.595,74;3.424,98
2001-10-01;108722;57087;2.812,55;3.364,48
2001-11-01;107735;56825;2.841,73;3.559,44
2001-12-01;104618;56181;2.660,30;3.440,71
2002-01-01;108275;56439;2.607,32;3.432,19
2002-02-01;111167;56133;2.383,77;3.038,17
2002-03-01;110425;56224;2.918,94;3.938,70
2002-04-01;115217;58365;2.742,86;4.212,57
2002-05-01;115645;58224;3.000,33;4.304,49
2002-06-01;117641;59245;2.770,69;3.936,73
2002-07-01;116686;59580;3.103,85;4.599,93
2002-08-01;119165;59623;2.975,89;4.418,82
2002-09-01;119263;59249;3.218,21;4.509,89
2002-10-01;117199;58437;3.501,13;4.830,10
2002-11-01;122665;59307;3.593,61;4.962,31
2002-12-01;124311;57211;3.242,50;5.369,91
2003-01-01;122850;58689;3.533,71;4.425,56
2003-02-01;122142;59386;2.923,46;4.186,02
2003-03-01;125935;59474;3.908,26;5.755,55
2003-04-01;123417;58792;3.662,18;5.211,10
2003-05-01;122951;58811;3.860,47;5.531,86
2003-06-01;124253;60936;3.796,11;5.727,24
2003-07-01;126735;61205;4.236,11;6.267,43
2003-08-01;124049;59730;3.828,73;5.974,77
2003-09-01;127930;61406;4.114,68;6.205,53
2003-10-01;129466;62858;4.824,39;6.575,39
2003-11-01;130355;64991;3.969,70;5.244,96
2003-12-01;134228;64169;4.595,04;8.234,28
2004-01-01;134408;63243;4.619,66;6.329,96
2004-02-01;138204;66443;3.664,50;6.139,44
2004-03-01;143003;68474;5.218,04;8.451,89
2004-04-01;143232;67810;5.072,46;7.932,03
2004-05-01;145428;69480;5.170,06;7.990,55
2004-06-01;149555;67025;5.284,38;8.467,77
2004-07-01;147767;68510;5.632,14;8.728,47
2004-08-01;150225;68980;4.707,49;7.883,36
2004-09-01;149765;70139;5.656,28;8.486,55
2004-10-01;154734;70934;5.867,34;8.087,59
2004-11-01;158352;70148;5.733,91;8.568,14
2004-12-01;156760;72398;6.540,87;10.474,02
2005-01-01;158620;72679;4.997,28;7.219,68
2005-02-01;161321;73198;5.651,74;8.323,74
2005-03-01;157424;73719;6.591,86;10.196,35
2005-04-01;163980;76407;6.128,13;9.595,50
2005-05-01;162495;75785;5.977,23;9.811,62
2005-06-01;164574;75759;6.038,53;9.947,50
2005-07-01;164742;75955;5.763,47;9.596,12
2005-08-01;166385;77129;5.552,87;10.272,18
2005-09-01;171808;75332;6.814,27;10.365,94
2005-10-01;176528;77433;6.772,18;10.089,81
2005-11-01;174746;78840;5.942,58;9.673,13
2005-12-01;177643;80780;7.246,28;11.682,58
2006-01-01;181741;81984;5.133,05;8.145,53
2006-02-01;178503;82943;6.058,25;9.796,22
2006-03-01;180846;84745;7.411,10;11.605,03
2006-04-01;181516;84593;6.456,09;11.587,10
2006-05-01;185444;85841;7.041,54;12.694,20
2006-06-01;185534;87739;7.815,43;12.465,72
2006-07-01;186328;85676;7.067,41;11.709,38
2006-08-01;190144;87953;6.811,20;12.276,09
2006-09-01;188497;88736;7.606,55;12.152,98
2006-10-01;184636;89373;6.888,81;11.199,56
